dvit,genoPC1,genoPC2,genoPC3,genoPC4,species,country_sean,east_west,cultivar,vinif_type,dvit,length,x1_mean,y1_mean,x2_mean,y2_mean,x3_mean,y3_mean,x4_mean,y4_mean,x5_mean,y5_mean,x6_mean,y6_mean,x7_mean,y7_mean,x8_mean,y8_mean,x9_mean,y9_mean,x10_mean,y10_mean,oPC1_mean,oPC2_mean,x1_sd,y1_sd,x2_sd,y2_sd,x3_sd,y3_sd,x4_sd,y4_sd,x5_sd,y5_sd,x6_sd,y6_sd,x7_sd,y7_sd,x8_sd,y8_sd,x9_sd,y9_sd,x10_sd,y10_sd,oPC1_sd,oPC2_sd,x1_sd,y1_sd,x2_sd,y2_sd,x3_sd,y3_sd,x4_sd,y4_sd,x5_sd,y5_sd,x6_sd,y6_sd,x7_sd,y7_sd,x8_sd,y8_sd,x9_sd,y9_sd,x10_sd,y10_sd,oPC1_sd,oPC2_sd
DVIT_2690,-0.0811,-0.057,0.0291,-0.0037,vinifera,Hungary,central,Zifir,table,DVIT 2690,16,26.22426294,-179.8358169,-87.41789719,654.3945296,-155.3845761,-5.871733625,156.6462341,66.32231688,-593.0558023,266.6293913,466.0849849,439.4052336,-226.1739799,-274.6899417,301.5256908,-181.5640679,-505.9357381,-484.037282,617.4868189,-300.7526287,243.3711159,-18.15600818,12.9378591,20.62582754,49.16771906,26.60036154,21.40969374,12.82491059,21.98684146,46.93153022,39.13987912,32.48424579,36.90625252,33.92655999,39.9143136,18.13450167,33.26644355,22.60793433,26.78356597,18.64559644,26.80314435,44.55805952,9.845604536,11.44371391,1.617232388,2.578228443,6.145964882,3.325045192,2.676211717,1.603113823,2.748355182,5.866441277,4.892484889,4.060530724,4.613281565,4.240819998,4.989289201,2.266812708,4.158305444,2.825991791,3.347945746,2.330699555,3.350393044,5.56975744,1.230700567,1.430464239
DVIT_600,0.0201,0.0262,-0.0221,-0.0444,vinifera,Greece,central,Trifera,table,DVIT 600,8,38.05132638,-300.6119368,-122.0797325,650.9705839,-150.7336634,-9.245184625,126.9086976,10.50241963,-540.4626019,261.9858078,451.8240335,391.1385065,-235.8950641,-288.8010925,332.2398753,-181.1707718,-553.2544606,-361.1830935,653.4015896,-173.5852355,234.9534769,-193.215485,40.66656228,45.25290399,136.1035246,58.95530423,20.5052946,26.40483387,28.05431235,45.45906515,71.79902246,93.71232632,73.1930973,40.94552259,49.10563489,49.39262021,42.19658447,34.28524682,41.18420939,48.20244043,31.92681277,65.72864315,51.39512107,47.7015776,5.083320284,5.656612999,17.01294058,7.369413029,2.563161824,3.300604234,3.506789043,5.682383144,8.974877807,11.71404079,9.149137163,5.118190324,6.138204361,6.174077526,5.274573058,4.285655852,5.148026174,6.025305054,3.990851596,8.216080394,6.424390134,5.9626972
DVIT_532,0.0463,0.0016,0.0655,0.0315,vinifera,Hungary,central,Tallian,table,DVIT 532,4,45.3026775,-184.84225,-63.55014,690.94722,-228.06444,79.223395,208.61027,122.4608225,-670.01413,173.242115,541.702675,314.95091,-325.37545,-307.440045,384.790285,-155.45692,-406.1195775,-478.393535,512.71783,-254.69171,68.83331664,122.780746,23.04057499,11.7856039,86.45245626,46.74656775,29.38938434,17.45872222,42.97101278,43.92025228,15.46048976,64.87432482,34.38731256,34.28205985,80.63704196,51.92558052,44.97816913,31.86429521,33.2404269,29.60188609,20.07125032,80.15397528,0,0,2.880071874,1.473200488,10.80655703,5.843320969,3.673673042,2.182340278,5.371376598,5.490031535,1.93256122,8.109290603,4.29841407,4.285257482,10.07963024,6.490697565,5.622271141,3.983036901,4.155053362,3.700235762,2.50890629,10.01924691,0,0
DVIT_475,-0.0195,-0.1194,-0.0705,0.0102,vinifera,Hungary,central,Nicolas Horthy No. 39,table,DVIT 475,8,44.93081013,-157.5259826,-134.8099665,698.6433785,-186.8986904,58.55001525,150.0947066,69.25198538,-617.9656501,192.3270459,554.2608238,356.3605803,-264.6659046,-264.0381313,354.5184573,-169.8629236,-434.8706793,-480.4352406,535.4060883,-303.2707295,182.3147531,110.4011411,32.08885612,26.25515298,65.70324168,74.36981516,81.41837389,88.47726205,45.76201527,47.18849865,64.19250244,53.35314813,52.29781613,40.13780047,45.84263879,26.44038357,39.67002876,14.59437816,61.94576915,21.67996789,57.38503271,28.42856922,67.20563093,36.82959197,4.011107015,3.281894123,8.21290521,9.296226895,10.17729674,11.05965776,5.720251909,5.898562332,8.024062804,6.669143517,6.537227016,5.017225059,5.730329848,3.305047946,4.958753594,1.82429727,7.743221143,2.709995986,7.173129089,3.553571153,8.400703866,4.603698996
DVIT_562,0.0521,-0.0278,0.0036,0.0105,vinifera,Greece,central,Itonychi Mavro,table,DVIT 562,8,41.8613045,-285.0706853,-89.43174513,613.326772,-215.0330858,46.47014125,183.7434508,124.9471179,-596.0739473,202.5532794,522.1831076,366.2365065,-329.4481539,-308.2312086,403.4807116,-153.0443239,-508.0479609,-396.943598,586.7663158,-210.2440001,56.82080174,-80.31147767,34.64606788,38.88846612,68.7132608,54.39517225,49.43074757,71.58872174,44.79467819,82.51172957,46.58048121,64.43028683,67.9568597,37.18002583,43.57253292,57.33363735,63.29911191,34.52456479,103.7471227,63.63115813,45.96634389,38.33686956,6.101286409,20.17224181,4.330758486,4.861058265,8.5891576,6.799396531,6.178843446,8.948590217,5.599334774,10.3139662,5.822560152,8.053785854,8.494607463,4.647503229,5.446566615,7.166704669,7.912388989,4.315570599,12.96839033,7.953894767,5.745792986,4.792108695,0.762660801,2.521530226
DVIT_2653,0.015,0.0511,-0.0334,0.0287,vinifera,Moldova,central,Sereksiya Rosavi,table,DVIT 2653,8,39.34471713,-255.2199831,-100.3159688,654.1331021,-233.8818356,39.11493038,215.846378,96.60853575,-618.4791426,171.8824895,511.0787246,352.3512933,-325.8139398,-277.2773595,410.515191,-163.2419153,-505.9745903,-394.9874155,607.680469,-223.3636801,71.0597259,-51.49251021,16.59520675,30.30446641,57.7147306,64.48003781,36.23183215,39.36448344,32.07039588,33.96061579,43.01811511,39.51369056,22.82262312,46.89226733,65.18669503,10.70840174,59.1948857,21.50538079,44.19140504,43.07134378,39.2591637,32.78238929,37.39918564,29.90969034,2.074400843,3.788058301,7.214341325,8.060004726,4.528979019,4.92056043,4.008799485,4.245076974,5.377264389,4.939211321,2.85282789,5.861533416,8.148336878,1.338550218,7.399360712,2.688172599,5.52392563,5.383917973,4.907395463,4.097798661,4.674898205,3.738711293
DVIT_603,0.0236,0.0352,-0.0271,-0.0113,vinifera,Greece,central,Vustolethi,table,DVIT 603,8,31.87609425,-240.9591815,-82.27128163,639.8170635,-242.1859673,61.08339763,211.0821155,144.5320799,-621.8261511,135.7351439,520.1741615,318.0958299,-360.440855,-290.5406369,430.5053815,-155.0482754,-495.6285551,-389.94013,608.715054,-222.7752896,8.825230794,-29.32652424,23.78829153,15.70342801,42.31881272,29.91196552,27.73300621,43.57452613,34.28440578,83.48301869,28.26167292,47.02479994,31.34851283,28.74529264,49.12761268,26.60866299,90.657372,17.78487513,41.33441782,56.40941323,27.45994806,28.05022175,9.687419461,13.51417938,2.973536441,1.962928501,5.28985159,3.738995691,3.466625777,5.446815766,4.285550723,10.43537734,3.532709115,5.878099993,3.918564104,3.59316158,6.140951585,3.326082873,11.3321715,2.223109391,5.166802228,7.051176654,3.432493507,3.506277718,1.210927433,1.689272423
DVIT_599,0.035,0.0011,0.0054,-0.0043,vinifera,Greece,central,Chaouchi Politico,table,DVIT 599,8,35.66929013,-255.7190483,-98.07307525,686.4857539,-230.0113988,61.87957888,218.6425624,124.6258758,-573.9127565,213.0778668,476.693266,342.11936,-339.2083213,-327.5910359,416.791071,-176.5810413,-474.0012695,-440.9103034,567.4106304,-227.387005,35.02727626,-24.83362049,13.21550164,44.71679031,51.65366667,48.52516074,52.42763165,63.62130075,56.78009688,63.08332978,43.93076259,32.39517533,49.90447286,60.7221462,39.96566247,35.73409053,26.2747312,21.95410144,60.14365125,52.11484045,59.37912722,42.39958844,45.3708097,2.659816539,1.651937706,5.589598788,6.456708334,6.065645092,6.553453956,7.952662594,7.09751211,7.885416222,5.491345324,4.049396916,6.238059107,7.590268275,4.995707809,4.466761316,3.284341399,2.744262679,7.517956406,6.514355057,7.422390902,5.299948555,5.671351213,0.332477067
DVIT_557,0.0385,0.0033,0.0018,-0.0094,vinifera,Greece,central,Sidezitis,table,DVIT 557,8,25.71343538,-217.4174859,-146.0055914,643.2572878,-232.9188783,71.97656363,184.4484144,114.3402059,-623.7388566,165.3674548,578.6376349,349.5015854,-278.4575776,-276.3365671,372.1713701,-178.5267799,-446.194437,-401.74552,566.3444861,-270.4167483,94.15159805,62.43318733,19.2451045,41.88514898,40.99978997,54.78079641,45.83894101,43.14948104,38.31534353,64.05674784,53.13305845,53.99466801,70.1138562,48.26604185,72.59023772,53.54057001,59.2509429,54.36217862,111.3164514,45.11384236,105.0839464,73.73267518,29.46241828,33.05758338,2.405638062,5.235643622,5.124973746,6.847599551,5.729867626,5.39368513,4.789417941,8.007093479,6.641632306,6.749333501,8.764232025,6.033255231,9.073779715,6.692571251,7.406367862,6.795272327,13.91455643,5.639230295,13.1354933,9.216584397,3.682802285,4.132197923
DVIT_548,-0.0109,-0.1014,-0.071,0.0223,vinifera,Hungary,central,Vorosmarthy,table,DVIT 548,8,17.83928843,-190.5532016,-62.38954964,666.4345396,-241.5472776,69.91805161,203.3907625,162.7168137,-614.8253603,158.6413399,510.1377529,366.9977751,-335.6600784,-318.0481303,424.8814176,-193.5030595,-435.2387154,-444.8619303,533.4117636,-277.7421943,18.18590656,74.72721099,24.37237478,22.38128861,87.76408743,32.77160849,87.07295718,43.66761166,65.07661698,73.50776359,34.49014436,49.51667244,55.67614708,36.74419252,54.40984456,32.48459409,53.6218084,32.00482408,24.51436119,29.02566828,32.4503361,63.45043979,38.6276313,18.7987616,3.046546848,2.797661076,10.97051093,4.096451062,10.88411965,5.458451457,8.134577122,9.188470449,4.311268046,6.189584055,6.959518385,4.593024065,6.80123057,4.060574261,6.70272605,4.00060301,3.064295149,3.628208535,4.056292013,7.931304974,4.828453912,2.349845201
